epoch,train_loss,val_loss,train_acc,val_acc,iteration,mid_layer,dropout,dataset,network,lr
82,2.181943416595459,2.1833345890045166,0.25,0.21,1,2,0.0,mnist,multiclass_mlp,0.001
83,2.1811909675598145,2.1826331615448,0.25,0.22,1,2,0.0,mnist,multiclass_mlp,0.001
84,2.180452585220337,2.1819210052490234,0.25,0.22,1,2,0.0,mnist,multiclass_mlp,0.001
85,2.179663896560669,2.181199312210083,0.2421875,0.22,1,2,0.0,mnist,multiclass_mlp,0.001
86,2.1788530349731445,2.1804251670837402,0.2421875,0.22,1,2,0.0,mnist,multiclass_mlp,0.001
87,2.178036689758301,2.1796164512634277,0.2421875,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
88,2.1772100925445557,2.178785800933838,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
89,2.1763482093811035,2.1779866218566895,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
90,2.1754565238952637,2.1772027015686035,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
91,2.1746068000793457,2.1764326095581055,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
92,2.173729419708252,2.175663709640503,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
93,2.1728079319000244,2.1748549938201904,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
94,2.171844720840454,2.1740243434906006,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
95,2.17093563079834,2.173231840133667,0.2421875,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
96,2.1701061725616455,2.1724376678466797,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
97,2.1692309379577637,2.1716043949127197,0.25,0.23,1,2,0.0,mnist,multiclass_mlp,0.001
98,2.168389320373535,2.170741319656372,0.25,0.24,1,2,0.0,mnist,multiclass_mlp,0.001
99,2.1675374507904053,2.169926404953003,0.2421875,0.24,1,2,0.0,mnist,multiclass_mlp,0.001
0,2.315906286239624,2.2903854846954346,0.078125,0.21,2,2,0.0,mnist,multiclass_mlp,0.001
1,2.307457208633423,2.2883565425872803,0.1015625,0.19,2,2,0.0,mnist,multiclass_mlp,0.001
2,2.2974963188171387,2.2871477603912354,0.1484375,0.21,2,2,0.0,mnist,multiclass_mlp,0.001
3,2.2868776321411133,2.2868568897247314,0.171875,0.22,2,2,0.0,mnist,multiclass_mlp,0.001
4,2.2767906188964844,2.2874410152435303,0.15625,0.21,2,2,0.0,mnist,multiclass_mlp,0.001
5,2.2677416801452637,2.2885639667510986,0.171875,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
6,2.2609522342681885,2.2896931171417236,0.1640625,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
7,2.255795955657959,2.2903542518615723,0.1640625,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
8,2.251911163330078,2.289985418319702,0.1640625,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
9,2.248504400253296,2.2883644104003906,0.15625,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
10,2.2449417114257812,2.285600185394287,0.1484375,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
11,2.2410006523132324,2.2826099395751953,0.1640625,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
12,2.237304925918579,2.279484510421753,0.1796875,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
13,2.233497142791748,2.2767248153686523,0.1875,0.2,2,2,0.0,mnist,multiclass_mlp,0.001
14,2.2302963733673096,2.2741293907165527,0.1796875,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
15,2.2278177738189697,2.2719054222106934,0.1875,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
